"","","cofip_sub","cofip_nbr_nbr"
"983",1999,31103,46071
"984",1999,38077,46037
"985",1999,27011,46029
"986",1999,27011,46037
"987",1999,31045,46071
"988",1999,19167,46125
"989",1999,31165,56031
"990",1999,31165,56009
"991",1999,31161,46071
"992",1999,27173,46029
"993",1999,27173,46057
"994",1999,28003,47023
"995",1999,28003,47039
"996",1999,28003,47077
"997",1999,28003,47075
"998",1999,28003,47113
"999",1999,37011,47179
"1000",1999,37115,47179
"1001",1999,37115,47063
"1002",1999,37115,47089
"1003",1999,1089,47003
"1004",1999,1089,47117
"1005",1999,1089,47127
"1006",1999,1089,47031
"1007",1999,1089,47061
"1008",1999,37039,47105
"1009",1999,37039,47107
"1010",1999,21171,47087
"1011",1999,21171,47159
"1012",1999,21171,47169
"1013",1999,21171,47133
"1014",1999,1083,47003
"1015",1999,1083,47117
"1016",1999,1083,47127
"1017",1999,1083,47119
"1018",1999,37009,51173
"1019",1999,37009,51197
"1020",1999,37009,51640
"1021",1999,21219,47021
"1022",1999,21219,47043
"1023",1999,21219,47083
"1024",1999,21219,47037
"1025",1999,37173,47093
"1026",1999,37173,47105
"1027",1999,37173,47089
"1028",1999,28141,47023
"1029",1999,28141,47039
"1030",1999,28141,47077
"1031",1999,21147,47001
"1032",1999,21147,47173
"1033",1999,21147,47049
"1034",1999,21147,47129
"1035",1999,37199,47179
"1036",1999,21035,47005
"1037",1999,21035,47083
"1038",1999,21035,47017
"1039",1999,21083,47005
"1040",1999,21083,47017
"1041",1999,21083,47053
"1042",1999,37075,47105
"1043",1999,37075,47107
"1044",1999,37075,47093
"1045",1999,21047,47021
"1046",1999,21047,47043
"1047",1999,21047,47083
"1048",1999,21047,47005
"1049",1999,21141,47021
"1050",1999,21141,47037
"1051",1999,37087,47063
"1052",1999,37087,47089
"1053",1999,37087,47093
"1054",1999,21053,47049
"1055",1999,21053,47133
"1056",1999,21053,47087
"1057",1999,37121,47179
"1058",1999,21003,47087
"1059",1999,21003,47159
"1060",1999,21003,47169
"1061",1999,21003,47037
"1062",1999,21003,47189
"1063",1999,21235,47057
"1064",1999,21235,47173
"1065",1999,21235,47001
"1066",1999,13083,47007
"1067",1999,13083,47121
"1068",1999,13083,47143
"1069",1999,13083,47153
"1070",1999,13083,47061
"1071",1999,28093,47075
"1072",1999,29155,47033
"1073",1999,29155,47053
"1074",1999,13213,47107
"1075",1999,13213,47121
"1076",1999,21057,47087
"1077",1999,21057,47133
"1078",1999,21013,47057
"1079",1999,21013,47173
"1080",1999,13313,47007
"1081",1999,13313,47121
"1082",1999,13313,47143
"1083",1999,13313,47153
"1084",1999,13313,47107
"1085",1999,21213,47021
"1086",1999,21213,47037
"1087",1999,21213,47169
"1088",1999,21213,47189
"1089",1999,13295,47007
"1090",1999,13295,47121
"1091",1999,13295,47143
"1092",1999,13295,47153
"1093",1999,28139,47023
"1094",1999,28139,47075
"1095",1999,28139,47113
"1096",1999,28009,47023
"1097",1999,28009,47075
"1098",1999,28009,47113
"1099",1999,21231,47001
"1100",1999,21231,47049
"1101",1999,21231,47129
"1102",1999,21231,47133
"1103",1999,21221,47005
"1104",1999,21221,47083
"1105",1999,13047,47007
"1106",1999,13047,47121
"1107",1999,13047,47143
"1108",1999,13047,47153
"1109",1999,40025,48341
"1110",1999,40025,48233
"1111",1999,40023,48119
"1112",1999,40023,48159
"1113",1999,40023,48343
"1114",1999,40023,48449
"1115",1999,35015,48475
"1116",1999,35015,48243
"1117",1999,35015,48371
"1118",1999,35037,48069
"1119",1999,35037,48375
"1120",1999,35037,48381
"1121",1999,35037,48341
"1122",1999,40009,48129
"1123",1999,40009,48179
"1124",1999,40009,48393
"1125",1999,40009,48191
"1126",1999,40129,48129
"1127",1999,40129,48179
"1128",1999,40129,48393
"1129",1999,40139,48393
"1130",1999,40139,48233
"1131",1999,40139,48341
"1132",1999,22019,48241
"1133",1999,22019,48199
"1134",1999,40007,48393
"1135",1999,35025,48135
"1136",1999,35025,48317
"1137",1999,35025,48329
"1138",1999,35025,48219
"1139",1999,35025,48445
"1140",1999,35025,48475
"1141",1999,35025,48279
"1142",1999,35025,48115
"1143",1999,40045,48393
