year,cofip_sub,cofip_nbr
2000,19089,27045
2000,19059,27063
2000,19063,27063
2000,1023,28153
2000,22107,28021
2000,1107,28087
2000,1129,28041
2000,1075,28095
2000,22117,28113
2000,5077,28143
2000,1077,28141
2000,5017,28011
2000,22117,28109
2000,5107,28143
2000,1093,28057
2000,1129,28153
2000,22107,28063
2000,22037,28005
2000,1119,28103
2000,22037,28157
2000,1093,28095
2000,22117,28147
2000,22029,28001
2000,1119,28075
2000,1107,28103
2000,1023,28075
2000,5017,28055
2000,22065,28149
2000,22105,28113
2000,22035,28149
2000,22107,28001
2000,22035,28055
2000,1059,28141
2000,1097,28041
2000,22125,28157
2000,22117,28091
2000,1119,28069
2000,22103,28045
2000,5035,28143
2000,1075,28087
2000,5107,28011
2000,22091,28005
2000,1023,28023
2000,22029,28157
2000,1097,28059
2000,5035,28033
2000,1033,28141
2000,1059,28057
2000,22107,28149
2000,1097,28039
2000,22065,28149
2000,5107,28027
2000,5041,28011
2000,22105,28005
2000,5017,28151
2000,22103,28109
2000,17157,29157
2000,20121,29013
2000,21075,29143
2000,17119,29183
2000,19051,29197
2000,19177,29045
2000,17149,29127
2000,20209,29095
2000,17149,29163
2000,5015,29209
2000,20091,29037
2000,20091,29095
2000,20209,29047
2000,20037,29011
2000,19185,29129
2000,17083,29183
2000,19071,29005
2000,5009,29213
2000,20107,29013
2000,20121,29037
2000,17133,29099
2000,5021,29023
2000,5015,29009
2000,17067,29045
2000,19051,29199
2000,17013,29163
2000,19145,29005
2000,19177,29199
2000,17003,29133
2000,21039,29133
2000,19053,29129
2000,20037,29217
2000,19145,29147
2000,5135,29149
2000,17067,29111
2000,19111,29045
2000,20043,29087
2000,17181,29031
2000,17149,29173
